phase,A1_actionId,C_actionId,n_context,B1_playerId,EV,count,train_winrate,usage_rate
late,5,1,7,12,0.41171926088259597,1,0.0,0.14285714285714285
late,5,3,7,12,0.39287114803509027,1,0.0,0.14285714285714285
late,5,5,7,12,0.37458816431312825,4,0.0,0.5714285714285714
late,5,13,7,12,0.16879168725699042,1,0.0,0.14285714285714285
late,6,3,4,12,0.4926703582382515,1,1.0,0.25
late,6,5,4,12,0.4359206552500526,1,0.0,0.25
late,6,6,4,12,0.43880413502995425,2,0.0,0.5
late,10,1,9,12,0.58279422258658,4,0.5,0.4444444444444444
late,10,3,9,12,0.5654386922528479,2,0.5,0.2222222222222222
late,10,6,9,12,0.542953567448317,2,1.0,0.2222222222222222
late,10,13,9,12,0.3138279761142378,1,1.0,0.1111111111111111
late,11,1,1,12,0.6632082241289885,1,0.0,1.0
late,12,5,1,12,0.41587041760156485,1,0.0,1.0
late,14,14,1,12,0.1674786068915567,1,0.0,1.0
late,1,1,21,13,0.61109230471678,12,0.6666666666666666,0.5714285714285714
late,1,2,21,13,0.5877733654587144,1,1.0,0.047619047619047616
late,1,5,21,13,0.5719270580308117,3,0.3333333333333333,0.14285714285714285
late,1,6,21,13,0.5720283449321173,2,0.5,0.09523809523809523
late,1,13,21,13,0.3059289491308065,3,0.6666666666666666,0.14285714285714285
late,2,1,8,13,0.5795031761420444,4,0.75,0.5
late,2,2,8,13,0.5557329413554005,2,0.5,0.25
late,2,5,8,13,0.527321796405275,1,0.0,0.125
late,2,13,8,13,0.284312843870548,1,0.0,0.125
late,4,1,5,13,0.7336015583089415,1,1.0,0.2
late,4,6,5,13,0.6916351952047908,2,1.0,0.4
late,4,13,5,13,0.44602504950703575,2,0.5,0.4
late,6,2,8,13,0.5726763487440935,3,0.3333333333333333,0.375
late,6,6,8,13,0.5370651952867859,3,1.0,0.375
late,6,13,8,13,0.26364893624398295,2,0.0,0.25
late,7,1,2,13,0.6875128869814426,1,1.0,0.5
late,7,2,2,13,0.6659958448264534,1,1.0,0.5
late,10,2,7,13,0.653129489831745,2,0.5,0.2857142857142857
late,10,6,7,13,0.6281925955103694,2,0.0,0.2857142857142857
late,10,12,7,13,0.5673324641890004,1,0.0,0.14285714285714285
late,10,13,7,13,0.35493909829713716,2,0.0,0.2857142857142857
late,11,1,5,13,0.7033269567569916,3,0.6666666666666666,0.6
late,11,5,5,13,0.6739734462649828,1,0.0,0.2
late,11,11,5,13,0.6187009150720438,1,0.0,0.2
late,13,2,4,13,0.5271882728582884,1,1.0,0.25
late,13,5,4,13,0.506852797261227,1,0.0,0.25
late,13,6,4,13,0.506852797261227,2,0.5,0.5
late,1,2,1,14,0.572340225994388,1,1.0,1.0
late,2,2,15,14,0.5466628779564048,6,0.3333333333333333,0.4
late,2,6,15,14,0.5151823892770273,2,0.0,0.13333333333333333
late,2,13,15,14,0.27675070850383915,7,0.0,0.4666666666666667
late,5,2,2,14,0.5398101226572695,1,1.0,0.5
late,5,6,2,14,0.5310520033952997,1,1.0,0.5
late,6,2,17,14,0.5575231357009107,6,0.5,0.35294117647058826
late,6,3,17,14,0.5612874076567853,1,1.0,0.058823529411764705
late,6,6,17,14,0.5247176736328572,5,1.0,0.29411764705882354
late,6,13,17,14,0.2529416669285499,5,0.2,0.29411764705882354
late,7,13,1,14,0.378972188140393,1,1.0,1.0
late,10,2,6,14,0.6461147382496747,1,1.0,0.16666666666666666
late,10,5,6,14,0.6323124367833098,1,1.0,0.16666666666666666
late,10,6,6,14,0.6323124367833098,1,1.0,0.16666666666666666
late,10,10,6,14,0.5604993578876327,1,0.0,0.16666666666666666
late,10,13,6,14,0.4103047241514337,2,0.0,0.3333333333333333
late,13,2,6,14,0.512619628775862,4,0.25,0.6666666666666666
late,13,13,6,14,0.2501274329294673,2,0.5,0.3333333333333333
late,1,3,5,15,0.6978183376339324,3,0.6666666666666666,0.6
late,1,6,5,15,0.6239385490614427,1,0.0,0.2
late,1,11,5,15,0.5333319058349552,1,1.0,0.2
late,3,1,5,15,0.6824638934120155,1,0.0,0.2
late,3,3,5,15,0.7021740929982762,3,1.0,0.6
late,3,12,5,15,0.5465518793324244,1,0.0,0.2
late,4,3,2,15,0.8530384358383956,1,1.0,0.5
late,4,6,2,15,0.8350026822476841,1,1.0,0.5
late,5,6,1,15,0.6048693332714499,1,1.0,1.0
late,6,6,1,15,0.5955450072123647,1,0.0,1.0
late,11,1,4,15,0.7578618341322583,1,1.0,0.25
late,11,10,4,15,0.6753513507823773,1,1.0,0.25
late,11,13,4,15,0.44850582713071463,1,1.0,0.25
late,11,14,4,15,0.3557504297270493,1,0.0,0.25
late,13,3,2,15,0.6320559079958574,1,1.0,0.5
late,13,13,2,15,0.30229158324180816,1,0.0,0.5
late,14,2,2,15,0.5745661734021789,1,1.0,0.5
late,14,14,2,15,0.28031419011157366,1,1.0,0.5
late,1,1,9,16,0.6791670099904845,1,1.0,0.1111111111111111
late,1,2,9,16,0.65818885642662,1,1.0,0.1111111111111111
late,1,3,9,16,0.6687114379847124,1,1.0,0.1111111111111111
late,1,5,9,16,0.6477723348292025,1,0.0,0.1111111111111111
late,1,6,9,16,0.6465078046761886,4,1.0,0.4444444444444444
late,1,13,9,16,0.4037154529153692,1,0.0,0.1111111111111111
late,2,1,2,16,0.6203365655409209,1,1.0,0.5
late,2,2,2,16,0.5959996816300495,1,0.0,0.5
late,4,2,1,16,0.8403758498950139,1,1.0,1.0
late,5,2,3,16,0.6501127918169396,1,0.0,0.3333333333333333
late,5,3,3,16,0.6745643174946635,1,1.0,0.3333333333333333
late,5,5,3,16,0.6117333345452284,1,1.0,0.3333333333333333
late,6,2,5,16,0.6312327589452561,3,0.6666666666666666,0.6
late,6,6,5,16,0.597755974848478,2,1.0,0.4
late,10,13,1,16,0.02620816712804215,1,0.0,1.0
late,11,1,4,16,0.7679401208787869,4,0.5,1.0
late,13,2,5,16,0.49033069869065127,2,0.0,0.4
late,13,6,5,16,0.4636299270325558,3,0.3333333333333333,0.6
late,1,1,4,17,0.5616066025006772,1,0.0,0.25
late,1,2,4,17,0.5341938390246638,1,1.0,0.25
late,1,5,4,17,0.5220207169162268,1,0.0,0.25
late,1,6,4,17,0.5205167028708546,1,1.0,0.25
late,2,1,5,17,0.5104047248783232,3,0.3333333333333333,0.6
late,2,2,5,17,0.47684156609681966,2,0.5,0.4
